COUNTRY,INDICATOR,1950q1,1950q2,1950q3,1950q4,1951q1,1951q2,1951q3,1951q4,1952q1,1952q2,1952q3,1952q4,1953q1,1953q2,1953q3,1953q4,1954q1,1954q2,1954q3,1954q4,1955q1,1955q2,1955q3,1955q4,1956q1,1956q2,1956q3,1956q4,1957q1,1957q2,1957q3,1957q4,1958q1,1958q2,1958q3,1958q4,1959q1,1959q2,1959q3,1959q4,1960q1,1960q2,1960q3,1960q4,1961q1,1961q2,1961q3,1961q4,1962q1,1962q2,1962q3,1962q4,1963q1,1963q2,1963q3,1963q4,1964q1,1964q2,1964q3,1964q4,1965q1,1965q2,1965q3,1965q4,1966q1,1966q2,1966q3,1966q4,1967q1,1967q2,1967q3,1967q4,1968q1,1968q2,1968q3,1968q4,1969q1,1969q2,1969q3,1969q4,1970q1,1970q2,1970q3,1970q4,1971q1,1971q2,1971q3,1971q4,1972q1,1972q2,1972q3,1972q4,1973q1,1973q2,1973q3,1973q4,1974q1,1974q2,1974q3,1974q4,1975q1,1975q2,1975q3,1975q4,1976q1,1976q2,1976q3,1976q4,1977q1,1977q2,1977q3,1977q4,1978q1,1978q2,1978q3,1978q4,1979q1,1979q2,1979q3,1979q4,1980q1,1980q2,1980q3,1980q4,1981q1,1981q2,1981q3,1981q4,1982q1,1982q2,1982q3,1982q4,1983q1,1983q2,1983q3,1983q4,1984q1,1984q2,1984q3,1984q4,1985q1,1985q2,1985q3,1985q4,1986q1,1986q2,1986q3,1986q4,1987q1,1987q2,1987q3,1987q4,1988q1,1988q2,1988q3,1988q4,1989q1,1989q2,1989q3,1989q4,1990q1,1990q2,1990q3,1990q4,1991q1,1991q2,1991q3,1991q4,1992q1,1992q2,1992q3,1992q4,1993q1,1993q2,1993q3,1993q4,1994q1,1994q2,1994q3,1994q4,1995q1,1995q2,1995q3,1995q4,1996q1,1996q2,1996q3,1996q4,1997q1,1997q2,1997q3,1997q4,1998q1,1998q2,1998q3,1998q4,1999q1,1999q2,1999q3,1999q4,2000q1,2000q2,2000q3,2000q4,2001q1,2001q2,2001q3,2001q4,2002q1,2002q2,2002q3,2002q4,2003q1,2003q2,2003q3,2003q4,2004q1,2004q2,2004q3,2004q4,2005q1,2005q2,2005q3,2005q4,2006q1,2006q2,2006q3,2006q4,2007q1,2007q2,2007q3,2007q4,2008q1,2008q2,2008q3,2008q4,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4,2022q1,2022q2,2022q3,2022q4,2023q1,2023q2,2023q3,2023q4,2024q1,2024q2,2024q3
1C_355,XRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
1C_355,XRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
1C_459,XRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.357142999357143,0.37698433259127,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.416666999416667,0.411788999032838,0.383773999,0.383773999,0.383773999,0.383773999,0.365222999333333,0.345394999,0.345395,0.345395,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999,0.345394999333333,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,0.345395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C_459,XRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.357142857142857,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.38377403384887,0.38377403384887,0.38377403384887,0.38377403384887,0.38377403384887,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281688795,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,0.345399281569494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C_473,XRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.793299999,,,,4.437899999,5.32296666566667,5.499999999,5.49999999933333,5.499999999,5.49999999933333,5.499999999,5.49999999933333,5.36499999933333,4.689999999,4.689999999,4.689999999,4.689999999,4.75596666666667,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.56249999933333,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.62709999933333,4.83379999933333,5.18286666666667,5.58033333333333,5.816,6.33,7.39,7.74333333333333,7.99,8.1,8.69,10.01,11.7566666666667,11.6666666666667,9.9,9.9,9.9,9.80666666666667,9.76,9.76,9.76,9.76,9.76,9.76,9.76,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C_473,XRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.793299999,,,,4.437899999,5.499999999,5.499999999,5.499999999,5.499999999,5.499999999,5.499999999,5.499999999,4.689999999,4.689999999,4.689999999,4.689999999,4.689999999,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.5625,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.562499999,4.676499999,4.987499999,5.41,5.74,5.86,7.4,7.4,7.75,8.1,8.1,9,10.01,12.25,9.9,9.9,9.9,9.9,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5X,XRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.99999995,174.99499995,174.989999983333,198.296666633333,209.99999995,209.99999995,209.63166665,211.319999983333,245.168333283333,245.12499995,245.214999983333,245.341666633333,245.4133333,245.133333283333,245.011666666667,245.218333316667,245.031666616667,245.02499995,245.51999995,245.45999995,245.024999966667,245.008333283333,245.006666616667,245.011666616667,245.006666633333,245.00499995,245.011666616667,245.038333283333,245.039999966667,245.008333283333,245.03166665,245.02499995,245.039999966667,245.07499995,245.039999983333,245.08499995,245.06999995,245.031666633333,245.4133333,247.19499995,247.433333283333,246.166666633333,245.219999966667,245.179999966667,246.1033333,247.276666633333,248.67499995,248.199999983333,247.704999966667,248.458333333333,264.811666633333,278.863333283333,277.336666666667,276.223333283333,275.981666616667,276.066666616667,275.861666616667,276.14499995,275.804999983333,274.54999995,255.041666666667,251.063333333333,250.178333316667,251.823333316667,240.433333333333,221.44,209.33,220.35,247.215,244.051666666667,239.116666666667,232.431666666667,214.108333316667,204.061666666667,217.86166665,221.216666633333,226.141666633333,235.123333316667,245.241666666667,249.29166665,248.826666616667,247.614999983333,244.4983333,241.77499995,237.821666616667,230.294999983333,219.354999966667,215.1483333,213.414999966667,218.713333283333,211.7,207.054999966667,207.456666616667,210.60499995,206.06999995,220.9833333,242.986666633333,270.929999966667,290.41999995,282.584999966667,299.743333283333,313.9333333,347.088333283333,353.65499995,344.368333283333,373.496666633333,398.006666616667,408.386666616667,415.283333316667,416.388333333333,448.011666633333,468.136666633333,498.006666633333,470.354999983333,434.341666666667,394.341666666667,360.383333333333,357.338333333333,338.885,328.611666666667,306.388333333333,301.268333333333,306.761666666667,287.723333333333,283.44,288.933333333333,315.945,303.07,314.705,327.705,325.308333333333,308.31,286.791666666667,282.213333333333,267.185,252.865,260.498333333333,293.953333333333,296.371666666667,277.6,275.515,272.029833333333,247.998333333333,263.22,277.333333333333,272.913333333333,290.613666666667,291.785666666667,586.201333333333,568.749,535.359333333333,530.508333333333,516.884333333333,491.770333333333,494.898333333333,493.04,503.513,515.806666666667,509.391666666667,517.497666666667,559.706333333333,577.819,608.781,588.370333333333,609.667666666667,601.543666666667,590.816266666667,557.778666666667,584.832957599376,620.635217534966,625.574911784338,631.94596982053,664.965751395053,702.912702239783,724.623431140116,755.448348353837,710.513321305627,751.797893008923,736.806174785199,732.193446538295,748.299582329022,713.914382703786,666.791349133497,656.375439342581,611.251248008736,576.797170286307,583.196990066571,551.694498068864,524.881073836244,544.539829200832,536.795013589382,505.484875091655,500.235349395574,520.860906117951,537.704397203993,551.971589691402,545.584430374563,521.327529031124,514.759933984714,509.009258791665,500.506667461477,486.564917460872,477.466183793978,452.818902631729,438.004531972593,419.889739712107,435.845245465939,497.709489987421,503.474540754042,481.193099196973,458.613518417882,443.831031277356,474.331647597883,516.196411820035,508.084418708911,482.935753822264,479.504564752322,455.822642396007,464.327594639119,486.559150876372,500.416121403462,511.898132239787,524.662927500955,505.868868420165,496.700423796091,502.17505583734,495.368907888021,481.974129389789,478.929465457056,478.426167410728,494.853080861249,524.847607438662,582.481161994163,593.480711196201,590.075113569919,598.899394038144,595.244029166995,580.885977305272,587.444105973743,607.961304804316,616.03953372113,595.171727489716,558.447730502493,557.130082385918,533.639258527513,550.534824329669,564.069251183379,574.688817583477,577.543142483396,583.747441487942,589.919932632218,592.433536117919,595.119712084106,596.144883471385,561.015972493999,550.063449994289,544.14380620941,544.047662111369,556.464661402906,573.46657040873,584.465764930587,615.743374953769,651.465788406291,643.363875354082,611.335432263464,602.269545126647,602.822726536818,609.851296736739,604.170383772803,609.273439453512,597.065398786443
5X,XRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,175,175,209.9499999995,210,210,209.6999999995,245.2999999995,245.0999999995,245.0999999995,245.5,245.4499999995,245.3,245.07,245.005,245.13,245.19,245.005,245.765,245.065,245.005,245.015,245.005,245.005,245.005,245.005,245.005,245.09999995,245.025,245.02,245.02,245.005,245.005,245.02,245.24999995,245.075,245.025,245.025,246.64,247.59,247.515,245.09999995,245.225,245.425,245.995,248.675,248.695,247.405,247.95,248.455,278.725,277.915,277.06875,275.95,276.05625,276.025,275.6875,278.7625,276.5,261.225,251.425,250.09375,250.6,256.05,227.06,205.24999995,212.49999995,235.425,243.22,241.145,237.065,222.22499995,210.77499995,201.99999995,226.78749995,224.27499995,233.44999995,237.01249995,246.34399995,248.48749995,248.46249995,245.96249995,245.16249995,235.24999995,229.02499995,225.07499995,216.54999995,208.99999995,214.84999995,214.24999995,205.02499995,200.99999995,223.92499995,204.34999995,209.97499995,225.79999995,247.89999995,285.87499995,278.34999995,287.39999995,312.09999995,341.44999995,356.89999995,336.24999995,363.47499995,381.87499995,400.44999995,417.37499995,398.99999995,427.22499995,464.19999995,479.6,471.35,465.85,407.62499995,378.05,356.625,350.575,331.1,322.75,300.65,305.275,305.9,267,281.25,307.1,319.775,302.95,319.725,331.8,316.775,289.4,284.9,280.5,261.825,256.45,290.8,307.225,283.325,259,278.375,256.625,238.25,275.325,273.945,284.75,283.15,294.775,571,547.15,528.15,534.6,484.9,485.3,491.45,490,503.15,515.25,517.15,523.7,564.35,587.77,593.31,598.81,618.45,611.74,561.64,562.21,610.646993111152,635.124903175833,615.055789967182,652.953414294246,686.650266931854,686.434700711595,748.382201939532,704.951101558302,742.704936594203,773.534198113208,718.384623809002,744.306138658799,751.899358092618,657.601002506266,665.270791075051,625.495375226471,602.071592473612,574.041305679531,562.956573978716,519.364212193191,536.614037958115,539.66022213081,528.613909259409,481.5777108876,505.983492749151,542.471882236189,544.724298289321,556.037128083411,541.934071381362,515.973413041768,518.133491311216,498.069096431283,492.534164288932,485.714179933358,462.625714084209,445.592690713946,414.847584113332,416.110758690688,458.614975879186,471.335057842926,492.904268109408,464.098627423235,447.966263743768,455.335971123143,486.651086875881,534.558715671094,480.625,490.912288579554,461.713943830506,453.855254964367,485.786121602607,506.961125280161,491.132824198862,521.01429706116,507.31399845321,497.163104441413,512.266302225693,501.496177370031,485.714179933358,475.641360307447,475.74485059472,480.273100014643,521.304140507033,540.282513796228,609.682126591691,586.251675752972,585.51905739534,602.514007531919,576.158981115503,590.845793550712,587.722426305887,622.291053979698,613.560003741465,574.79582895198,555.613247501271,546.949887434337,532.389416443471,562.66683822268,566.652557014513,572.888209606987,583.851357365376,576.412126537786,602.403342823032,583.903329179277,598.719423147134,585.780496517235,560.263922104544,534.558715671094,559.451599147122,551.96650959273,566.505743155713,579.16033904291,590.899018106477,631.517281216906,672.91444398851,614.998124882805,603.178850574713,603.678446530462,619.177836511233,593.626244343891,606.74960688188,612.757589911256,585.885137549125
AD,XRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838566323698488,0.829541884924485,0.829395314191889,0.848324907582213,0.874244150773192,0.891012314725793,0.938694723821484,0.993153192063338,0.980801905237816,0.931974858509726,0.918154002665795,0.918997322289142,0.929712308484762,0.921051812501129,0.928831370735448,0.910220332714557
AD,XRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814929508597506,0.852878464818763,0.841467519353753,0.863632438034373,0.88292424509977,0.900819745968832,0.962741888899586,1.02585145670907,0.937558597412338,0.919540229885058,0.920301859009755,0.943930526713234,0.904977375565611,0.924983812783276,0.934142923867352,0.893176134333691
