COUNTERPART_AREA,INSTR_ASSET,DATE,obs_value
TOTAL,F,2013q4,21085182
EXT_EA_20,F,2013q4,476560.15
EA_20,F,2013q4,20608621.85
TOTAL,F2,2013q4,7074179
EXT_EA_20,F2,2013q4,112792.61
EA_20,F2,2013q4,6961386.39
TOTAL,F3,2013q4,1293202
EXT_EA_20,F3,2013q4,121100.8
EA_20,F3,2013q4,1172101.2
TOTAL,F4,2013q4,91583.73
EXT_EA_20,F4,2013q4,511.84
EA_20,F4,2013q4,91071.89
TOTAL,F51,2013q4,4171455.5
EXT_EA_20,F51,2013q4,158585.25
EA_20,F51,2013q4,4012870.25
TOTAL,F511,2013q4,818737.94
EXT_EA_20,F511,2013q4,103208.55
EA_20,F511,2013q4,715529.39
TOTAL,F51M,2013q4,3352717.75
EXT_EA_20,F51M,2013q4,55376.7
EA_20,F51M,2013q4,3297341.05
TOTAL,F52,2013q4,1567281.63
EXT_EA_20,F52,2013q4,66998.95
EA_20,F52,2013q4,1500282.68
TOTAL,F6,2013q4,6439399.5
EXT_EA_20,F6,2013q4,9318.3
EA_20,F6,2013q4,6430081.2
TOTAL,F81,2013q4,163388.77
EXT_EA_20,F81,2013q4,827
EA_20,F81,2013q4,162561.77
TOTAL,F89,2013q4,284691.38
EXT_EA_20,F89,2013q4,6425.4
EA_20,F89,2013q4,278265.98
TOTAL,F,2014q4,22148786
EXT_EA_20,F,2014q4,522803.7
EA_20,F,2014q4,21625982.3
TOTAL,F2,2014q4,7245967
EXT_EA_20,F2,2014q4,110081.43
EA_20,F2,2014q4,7135885.57
TOTAL,F3,2014q4,1122581.13
EXT_EA_20,F3,2014q4,115794.55
EA_20,F3,2014q4,1006786.58
TOTAL,F4,2014q4,135631.08
EXT_EA_20,F4,2014q4,3590.57
EA_20,F4,2014q4,132040.51
TOTAL,F51,2014q4,4358340
EXT_EA_20,F51,2014q4,192038.13
EA_20,F51,2014q4,4166301.87
TOTAL,F511,2014q4,857725.81
EXT_EA_20,F511,2014q4,133543.53
EA_20,F511,2014q4,724182.28
TOTAL,F51M,2014q4,3500614.5
EXT_EA_20,F51M,2014q4,58494.6
EA_20,F51M,2014q4,3442119.9
TOTAL,F52,2014q4,1785218.63
EXT_EA_20,F52,2014q4,74152.52
EA_20,F52,2014q4,1711066.11
TOTAL,F6,2014q4,7021037
EXT_EA_20,F6,2014q4,10826.5
EA_20,F6,2014q4,7010210.5
TOTAL,F81,2014q4,165250.98
EXT_EA_20,F81,2014q4,900
EA_20,F81,2014q4,164350.98
TOTAL,F89,2014q4,314760.09
EXT_EA_20,F89,2014q4,15420
EA_20,F89,2014q4,299340.09
TOTAL,F,2015q4,23167780
