INSTR,REF_AREA,REF_SECTOR,COUNTERPART_SECTOR,STO,FUNCTIONAL_CAT,TIME,COUNTERPART_AREA,_.obs_value
F,BE,S121,S0,LE,_T,1664582410,W2,308086
F,BE,S121,S121,LE,_T,1664582410,W2,7.69999999995343
F21,BE,S121,S0,LE,_T,1664582410,W2,8
F21,BE,S121,S11,LE,_T,1664582410,W2,0
F21,BE,S121,S121,LE,_T,1664582410,W2,7.7
F21,BE,S121,S124,LE,_T,1664582410,W2,0
F21,BE,S121,S12O,LE,_T,1664582410,W2,0
F21,BE,S121,S12Q,LE,_T,1664582410,W2,0
F21,BE,S121,S1M,LE,_T,1664582410,W2,0
F2M,BE,S121,S0,LE,_T,1664582410,W2,58715
F2M,BE,S121,S1,LE,_T,1664582410,W2,50980
F2M,BE,S121,S11,LE,_T,1664582410,W2,0
F2M,BE,S121,S121,LE,_T,1664582410,W2,0
F2M,BE,S121,S124,LE,_T,1664582410,W2,0
F2M,BE,S121,S128,LE,_T,1664582410,W2,0
F2M,BE,S121,S129,LE,_T,1664582410,W2,0
F2M,BE,S121,S12K,LE,_T,1664582410,W2,49452
F2M,BE,S121,S12O,LE,_T,1664582410,W2,0
F2M,BE,S121,S12Q,LE,_T,1664582410,W2,0
F2M,BE,S121,S12T,LE,_T,1664582410,W2,49452
F2M,BE,S121,S13,LE,_T,1664582410,W2,1528
F2M,BE,S121,S1M,LE,_T,1664582410,W2,0
F2M,BE,S121,S2,LE,_T,1664582410,W2,7735
F3,BE,S121,S0,LE,_T,1664582410,W2,217694
F3,BE,S121,S1,LE,_T,1664582410,W2,126114
F3,BE,S121,S11,LE,_T,1664582410,W2,8281
F3,BE,S121,S121,LE,_T,1664582410,W2,0
F3,BE,S121,S124,LE,_T,1664582410,W2,0
F3,BE,S121,S128,LE,_T,1664582410,W2,0
F3,BE,S121,S129,LE,_T,1664582410,W2,0
F3,BE,S121,S12K,LE,_T,1664582410,W2,5076
F3,BE,S121,S12O,LE,_T,1664582410,W2,1132
F3,BE,S121,S12Q,LE,_T,1664582410,W2,0
F3,BE,S121,S12R,LE,_T,1664582410,W2,1132
F3,BE,S121,S12T,LE,_T,1664582410,W2,5076
F3,BE,S121,S13,LE,_T,1664582410,W2,111626
